blocksize,coverage_mean,coverage_median,norm_MSE_mean,norm_MSE_median,MSE_mean,MSE_median
1,0.822,0.822,0.350404088,0.294819936,0.513393474,0.467703443
2,0.796,0.796,0.399450345,0.328908487,0.707195085,0.606525554
3,0.832,0.832,0.344248247,0.290454931,0.491781872,0.45046352
4,0.838,0.838,0.33435218,0.281964632,0.458159378,0.419422011
5,0.858,0.858,0.306993816,0.264454953,0.365311122,0.36108151
6,0.868,0.868,0.297564832,0.256776269,0.3370685,0.337661845
7,0.872,0.872,0.281030039,0.246575708,0.287370741,0.309958745
8,0.88,0.88,0.273645139,0.240584326,0.268523539,0.295512639
9,0.888,0.888,0.265582678,0.23567757,0.247766895,0.283720048
10,0.882,0.882,0.261285327,0.232818007,0.238372654,0.278587711
