"blocksize","coverage_mean","coverage_median","MSE_mean","MSE_median","norm_MSE_mean","norm_MSE_median"
1,0.824,0.848,0.000409376548252249,0.051455894919688,0.351049391309705,0.29758116258538
2,0.804,0.836,0.000648105074640814,0.112560366562767,0.384318088690767,0.320791074924643
3,0.838,0.868,0.000288055102952342,0.0196164073655105,0.327798040276717,0.279633006615316
4,0.852,0.876,0.000226733303627663,0.00732219463647341,0.31147329846811,0.268689028701327
5,0.862,0.886,0.000155458776273231,3.57162758005018e-05,0.287260601402672,0.251011372799886
6,0.872,0.892,0.000140818923947766,0.00277182060959613,0.274267736732813,0.242248393411945
7,0.88,0.896,0.000137545029226951,0.0115586927662408,0.261800945390996,0.232511535736964
8,0.89,0.9,0.000155330975775014,0.0193175228910047,0.253809744632784,0.227180289912349
9,0.888,0.892,0.00017584196766289,0.032055373466218,0.245439653260448,0.22015083742808
10,0.89,0.902,0.000199481815286974,0.0392537797166662,0.240862414175385,0.217111984653642
