"blocksize","coverage_mean","coverage_median","MSE_mean","MSE_median","norm_MSE_mean","norm_MSE_median"
1,0.99,0.982,1.57891478011022,0.327139540452911,0.205092149797386,0.0489248081720486
2,0.956,0.948,0.367190454390297,0.121242635508662,0.0162686630379231,0.107734315437538
3,0.952,0.944,0.282170411100214,0.12160999223298,0.0186383631479927,0.109882881900762
4,0.944,0.942,0.249327684499793,0.121403910974456,0.023186459424444,0.113021425614811
5,0.944,0.946,0.229837119963483,0.124757456135052,0.0268933165362558,0.114407236289668
6,0.936,0.94,0.213436165722161,0.123930270381805,0.0304970167677588,0.117372286192018
7,0.938,0.936,0.201626690470236,0.127024895188744,0.0336551284181264,0.118469579456006
8,0.938,0.938,0.195426846161431,0.127777295610552,0.0367309454811523,0.121787280423133
9,0.936,0.94,0.189719326172298,0.133452314172581,0.0391249714008138,0.122194038223888
10,0.936,0.936,0.183365805063032,0.13235837373544,0.0419058483877294,0.125638257675394
